,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2015-07-29,1.0,1.0,,封闭期,封闭期,nan
1,2015-07-31,0.9999,0.9999,,封闭期,封闭期,nan
2,2015-08-03,1.0002,1.0002,0.03,开放申购,开放赎回,nan
3,2015-08-04,1.0043,1.0043,0.41,开放申购,开放赎回,nan
4,2015-08-05,1.0006,1.0006,-0.37,开放申购,开放赎回,nan
5,2015-08-06,0.9983,0.9983,-0.23,开放申购,开放赎回,nan
6,2015-08-07,1.0027,1.0027,0.44,开放申购,开放赎回,nan
7,2015-08-10,1.0105,1.0105,0.78,开放申购,开放赎回,nan
8,2015-08-11,1.0093,1.0093,-0.12,开放申购,开放赎回,nan
9,2015-08-12,1.0055,1.0055,-0.38,开放申购,开放赎回,nan
10,2015-08-13,1.0088,1.0088,0.33,开放申购,开放赎回,nan
11,2015-08-14,1.0093,1.0093,0.05,开放申购,开放赎回,nan
12,2015-08-17,1.0135,1.0135,0.42,开放申购,开放赎回,nan
13,2015-08-18,0.9897,0.9897,-2.35,开放申购,开放赎回,nan
14,2015-08-19,1.0025,1.0025,1.29,开放申购,开放赎回,nan
15,2015-08-20,0.989,0.989,-1.35,开放申购,开放赎回,nan
16,2015-08-21,0.9586,0.9586,-3.07,开放申购,开放赎回,nan
17,2015-08-24,0.9053,0.9053,-5.56,开放申购,开放赎回,nan
18,2015-08-25,0.8663,0.8663,-4.31,开放申购,开放赎回,nan
19,2015-08-26,0.8682,0.8682,0.22,开放申购,开放赎回,nan
20,2015-08-27,0.9047,0.9047,4.2,开放申购,开放赎回,nan
21,2015-08-28,0.9292,0.9292,2.71,开放申购,开放赎回,nan
22,2015-08-31,0.9133,0.9133,-1.71,开放申购,开放赎回,nan
23,2015-09-01,0.8895,0.8895,-2.61,开放申购,开放赎回,nan
24,2015-09-02,0.885,0.885,-0.51,开放申购,开放赎回,nan
25,2015-09-07,0.8713,0.8713,-1.55,开放申购,开放赎回,nan
26,2015-09-08,0.8925,0.8925,2.43,开放申购,开放赎回,nan
27,2015-09-09,0.9114,0.9114,2.12,开放申购,开放赎回,nan
28,2015-09-10,0.9055,0.9055,-0.65,开放申购,开放赎回,nan
29,2015-09-11,0.905,0.905,-0.06,开放申购,开放赎回,nan
30,2015-09-14,0.8763,0.8763,-3.17,开放申购,开放赎回,nan
31,2015-09-15,0.852,0.852,-2.77,开放申购,开放赎回,nan
32,2015-09-16,0.8928,0.8928,4.79,开放申购,开放赎回,nan
33,2015-09-17,0.8719,0.8719,-2.34,开放申购,开放赎回,nan
34,2015-09-18,0.8767,0.8767,0.55,开放申购,开放赎回,nan
35,2015-09-21,0.8933,0.8933,1.89,开放申购,开放赎回,nan
36,2015-09-22,0.8982,0.8982,0.55,开放申购,开放赎回,nan
37,2015-09-23,0.8845,0.8845,-1.53,开放申购,开放赎回,nan
38,2015-09-24,0.8923,0.8923,0.88,开放申购,开放赎回,nan
39,2015-09-25,0.878,0.878,-1.6,开放申购,开放赎回,nan
40,2015-09-28,0.8849,0.8849,0.79,开放申购,开放赎回,nan
41,2015-09-29,0.8807,0.8807,-0.47,开放申购,开放赎回,nan
42,2015-09-30,0.8804,0.8804,-0.03,开放申购,开放赎回,nan
