,0,1,2,3,4
0,基金代码,基金简拼,基金名称,基金类型,基金全拼
1,000001,HXCZHH,华夏成长混合,混合型-偏股,HUAXIACHENGZHANGHUNHE
2,000002,HXCZHH,华夏成长混合(后端),混合型-偏股,HUAXIACHENGZHANGHUNHE
3,000003,ZHKZZZQA,中海可转债债券A,债券型-可转债,ZHONGHAIKEZHUANZHAIZHAIQUANA
4,000004,ZHKZZZQC,中海可转债债券C,债券型-可转债,ZHONGHAIKEZHUANZHAIZHAIQUANC
5,000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-长债,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
6,000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
7,000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA
8,000009,YFDTTLCHBA,易方达天天理财货币A,货币型,YIFANGDATIANTIANLICAIHUOBIA
9,000010,YFDTTLCHBB,易方达天天理财货币B,货币型,YIFANGDATIANTIANLICAIHUOBIB
10,000011,HXDPJXHHA,华夏大盘精选混合A,混合型-偏股,HUAXIADAPANJINGXUANHUNHEA
11,000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-偏股,HUAXIADAPANJINGXUANHUNHEA
12,000013,YFDTTLCHBR,易方达天天理财货币R,货币型,YIFANGDATIANTIANLICAIHUOBIR
13,000014,HXJLZQ,华夏聚利债券,债券型-混合债,HUAXIAJULIZHAIQUAN
14,000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA
15,000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC
16,000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
17,000020,JSCCPZTZHH,景顺长城品质投资混合,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE
18,000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
19,000024,DMSLZQZQA,大摩双利增强债券A,债券型-长债,DAMOSHUANGLIZENGQIANGZHAIQUANA
20,000025,DMSLZQZQC,大摩双利增强债券C,债券型-长债,DAMOSHUANGLIZENGQIANGZHAIQUANC
21,000028,HFAXZQ,华富安鑫债券,债券型-混合债,HUAFUANXINZHAIQUAN
22,000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
23,000030,CCHXYXHH,长城核心优选混合,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHE
24,000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
25,000032,YFDXYZZQA,易方达信用债债券A,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANA
26,000033,YFDXYZZQC,易方达信用债债券C,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANC
27,000037,GFJNZQA,广发景宁债券A,债券型-长债,GUANGFAJINGNINGZHAIQUANA
28,000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE
29,000041,HXQQGPQDII,华夏全球股票(QDII),QDII,HUAXIAQUANQIUGUPIAOQDII
30,000042,CTZZESG100ZSZQA,财通中证ESG100指数增强A,指数型-股票,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA
31,000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
32,000044,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
33,000045,GYCYZZQA,工银产业债债券A,债券型-混合债,GONGYINCHANYEZHAIZHAIQUANA
34,000046,GYCYZZQB,工银产业债债券B,债券型-混合债,GONGYINCHANYEZHAIZHAIQUANB
35,000047,HXSZZQA,华夏双债债券A,债券型-混合债,HUAXIASHUANGZHAIZHAIQUANA
36,000048,HXSZZQC,华夏双债债券C,债券型-混合债,HUAXIASHUANGZHAIZHAIQUANC
37,000049,ZYBPQQZYDQZZS,中银标普全球资源等权重指数,QDII,ZHONGYINBIAOPUQUANQIUZIYUANDENGQUANZHONGZHISHU
38,000051,HXHS300ETFLJA,华夏沪深300ETF联接A,指数型-股票,HUAXIAHUSHEN300ETFLIANJIEA
39,000053,PHYCYNDKZQ,鹏华永诚一年定开债券,债券型-长债,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN
40,000054,PHSZZLZQ,鹏华双债增利债券,债券型-混合债,PENGHUASHUANGZHAIZENGLIZHAIQUAN
